ID	NAME	ISO	CLASSIFICATION	VARIETY	SIZE	LINK2SOURCE
dar_Standard	Dargwa (Standard)	dar	North Caucasian,East Caucasian,Dargi	Standard	1750	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=57
dcr_std	Negerhollands	dcr	Creole,Dutch based	std	1185	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=217
ddo_Mokok	Dido (Mokok)	ddo	North Caucasian,East Caucasian,Tsezic,West Tsezic	Mokok	1454	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=162
ddo_Sagadin	Dido (Sagadin)	ddo	North Caucasian,East Caucasian,Tsezic,West Tsezic	Sagadin	1409	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=55
deu_std	German, Standard	deu	Indo-European,Germanic,West,High German,German,Middle German,East Middle German	std	1773	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=194
dsb_std	Sorbian, Lower	dsb	Indo-European,Slavic,West,Sorbian	std	1516	http://wold.livingsources.org/vocabulary/10
ell_std	Greek	ell	Indo-European,Greek,Attic	std	1677	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
emp_std	Emberá, Northern	emp	Choco,Embera,Northern	std	722	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=247
eng_std	English	eng	Indo-European,Germanic,West,English	std	1521	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=190
est_std	Estonian	est	Uralic,Finnic	std	1650	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=127
eus_std	Basque	eus	Basque	std	1059	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=219
fin_std	Finnish	fin	Uralic,Finnic	std	1696	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=128
fra_std	French	fra	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Oïl,French	std	1609	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=171
gdo_std	Ghodoberi	gdo	North Caucasian,East Caucasian,Avar-Andic,Andic	std	1417	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=38
ghl_std	Ghulfan	ghl	Nilo-Saharan,Eastern Sudanic,Eastern,Nubian,Central,Hill,Kadaru-Ghulfan	std	1616	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=318
gin_std	Hinukh	gin	North Caucasian,East Caucasian,Tsezic,West Tsezic	std	1345	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=42
gle_std	Gaelic, Irish	gle	Indo-European,Celtic,Insular,Goidelic	std	2372	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=181
glg_std	Galician	glg	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,West Iberian,Portuguese-Galician	std	620	http://www.logosdictionary.org/
guc_std	Wayuu	guc	Arawakan,Maipuran,Northern Maipuran,Caribbean	std	953	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
gue_std	Gurinji	gue	Australian,Pama-Nyungan,South-West,Ngumbin	std	917	http://wold.livingsources.org/vocabulary/31
gug_std	Guaraní, Paraguayan	gug	Tupi,Tupi-Guarani,Subgroup I	std	1839	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=290
gui_std	Guaraní, Eastern Bolivian	gui	Tupi,Tupi-Guarani,Subgroup I	std	1356	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=289
guq_std	Aché	guq	Tupi,Tupi-Guarani,Subgroup I	std	954	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=288
gwd_std	Gawwada	gwd	Afro-Asiatic,Cushitic,East,Dullay	std	1036	http://wold.livingsources.org/vocabulary/3
hau_std	Hausa	hau	Afro-Asiatic,Chadic,West,A,A.1	std	1636	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=220
haw_std	Hawaiian	haw	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,East,Central,Marquesic	std	2500	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=235
hdn_Northern	Haida, Northern (Northern)	hdn	Na-Dene,Haida	Northern	1009	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=227
hin_std	Hindi	hin	Indo-European,Indo-Iranian,Indo-Aryan,Central zone,Western Hindi,Hindustani	std	631	http://www.logosdictionary.org/
hun_std	Hungarian	hun	Uralic	std	1669	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=131
huz_std	Hunzib	huz	North Caucasian,East Caucasian,Tsezic,East Tsezic	std	1412	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=52
hye_Eastern	Armenian (Eastern)	hye	Indo-European,Armenian	Eastern	1782	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=206
