ID	NAME	ISO	CLASSIFICATION	VARIETY	SIZE	LINK2SOURCE
pmt_std	Tuamotuan	pmt	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,East,Central,Tahitic	std	1353	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=241
pnb_std	Punjabi	pnb	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda,Punjabi	std	1566	http://spraakbanken.gu.se/eng/research/digital-areal-linguistics/word-lists
pol_std	Polish	pol	Indo-European,Slavic,West,Lechitic	std	1991	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=203
por_std	Portuguese	por	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,West Iberian,Portuguese-Galician	std	1653	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=178
pue_std	Puelche	pue	unknown	std	728	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=312
pui_std	Puinave	pui	unknown	std	1083	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=249
qvi_std	Quichua, Imbabura Highland	qvi	Quechuan,Quechua II,B	std	1144	http://wold.livingsources.org/vocabulary/37
ray_std	Rapa	ray	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,East Fijian-Polynesian,Polynesian,Nuclear,East,Central	std	1203	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
rgn_std	Romagnol	rgn	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Italian	std	627	http://www.logosdictionary.org/
rif_std	Tarifit	rif	Afro-Asiatic,Berber,Northern,Zenati,Riff	std	1493	http://wold.livingsources.org/vocabulary/6
rmy_std	Romani, Vlax	rmy	Indo-European,Indo-Iranian,Indo-Aryan,Central zone,Romani,Vlax	std	986	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
ron_std	Romanian	ron	Indo-European,Italic,Romance,Eastern	std	2018	http://wold.livingsources.org/vocabulary/8
rtm_std	Rotuman	rtm	Austronesian,Malayo-Polynesian,Central-Eastern,Eastern Malayo-Polynesian,Oceanic,Central-Eastern Oceanic,Remote Oceanic,Central Pacific,West Fijian-Rotuman,Rotuman	std	1212	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=239
rus_std	Russian	rus	Indo-European,Slavic,East	std	1650	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=204
rut_std	Rutul	rut	North Caucasian,East Caucasian,Lezgic,Nuclear Lezgic,West Lezgic	std	1490	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=66
sap_Enlhet	Sanapaná (Enlhet)	sap	Mascoian	Enlhet	1657	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=299
sap_Standard	Sanapaná (Standard)	sap	Mascoian	Standard	1105	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
sei_std	Seri	sei	unknown	std	1245	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=225
sel_std	Selkup	sel	Uralic,Samoyed	std	1218	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=151
shb_std	Ninam	shb	Yanomam	std	942	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=252
shp_std	Shipibo-Conibo	shp	Panoan,North-Central	std	1266	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=281
sja_std	Epena	sja	Choco,Embera,Southern	std	1037	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=248
sjd_std	Saami, Kildin	sjd	Uralic,Sami,Eastern	std	1287	http://wold.livingsources.org/vocabulary/14
sme_std	Saami, North	sme	Uralic,Sami,Western,Northern	std	1350	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=143
snn_std	Siona	snn	Tucanoan,Western Tucanoan,Northern,Siona-Secoya	std	1100	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=256
spa_std	Spanish	spa	Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,West Iberian,Castilian	std	1735	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=176
src_std	Sardinian, Logudorese	src	Indo-European,Italic,Romance,Southern,Sardinian	std	2019	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=1
srm_std	Saramaccan	srm	Creole,English based	std	1146	http://wold.livingsources.org/vocabulary/36
srq_std	Sirionó	srq	Tupi,Tupi-Guarani,Subgroup II	std	1155	http://lingweb.eva.mpg.de/cgi-bin/ids/ids.pl?com=simple_browse&lg_id=291
