IDSKEY	LABEL	Occurrences
14.23	hasten, hurry	306
14.24	retard, delay	263
14.25	begin, beginning	346
14.252	last, endure	215
14.26	end (temporal)	223
14.27	finish	317
14.28	cease, stop	301
14.29	ready	226
14.31	always	288
14.32	often	234
14.33	sometimes	240
14.331	soon	261
14.332	long-time (for a)	229
14.34	never	255
14.35	again	302
14.41	day	244
14.42	night	249
14.43	dawn	294
14.44	morning	225
14.45	noon, midday	239
14.451	afternoon	225
14.46	evening	246
14.47	today	252
14.48	tomorrow	238
14.481	day-after-tomorrow	205
14.49	yesterday	232
14.491	day-before-yesterday	204
14.51	hour	170
14.53	clock, timepiece	185
14.61	week	173
14.62	Sunday	184
14.63	Monday	159
14.64	Tuesday	159
14.65	Wednesday	161
14.66	Thursday	162
14.67	Friday	161
14.68	Saturday	161
14.71	month	218
14.73	year	233
14.74	winter	205
14.75	spring	174
14.76	summer	200
14.77	autumn	167
14.78	season	193
15.21	smell (vb intrans)	249
15.212	sniff	230
15.22	smell (vb trans)	234
15.25	fragrant, good smelling	265
15.26	stinking, bad smelling	293
15.31	taste	240
15.35	sweet	242
15.36	salty	225
15.37	bitter	250
15.38	acid, sour	258
15.39	brackish	159
15.41	hear	250
15.42	listen	234
15.44	sound, noise	335
15.45	loud	242
15.46	quiet, silence	311
15.51	see	278
15.52	look, look at	290
15.55	show	267
15.56	shine	321
15.57	bright	286
15.61	color	180
15.62	light (in color)	209
15.63	dark (in color)	236
15.64	white	267
15.65	black	265
15.66	red	273
15.67	blue	246
15.68	green	245
15.69	yellow	242
15.71	touch	290
15.712	pinch	272
15.72	feel	228
15.74	hard	268
15.75	soft	286
15.76	rough	252
15.77	smooth	264
15.78	sharp	286
15.79	blunt, dull	237
15.81	heavy	245
15.82	light (in weight)	234
15.83	wet, damp	336
15.84	dry	280
15.85	hot	303
15.851	warm	255
15.86	cold	286
15.87	clean	263
15.88	dirty, soiled	319
15.89	wrinkled	250
16.11	soul, spirit	311
16.15	surprised, astonished	276
16.18	good fortune, luck	231
16.19	misfortune, bad luck	228
16.23	joyful, glad, happy	391
16.25	laugh	255
16.251	smile	210
16.26	play	269
16.27	love	316
16.29	kiss	250
16.3	embrace	238
16.31	pain	290
16.32	grief, sorrow, sadness	334
16.33	anxiety, worry	285
16.34	regret, be sorry	254
16.35	pity	250
16.37	cry, weep	278
16.38	tear (noun)	220
16.39	groan	232
16.41	hate	259
16.42	anger	319
16.44	envy, jealousy	312
16.45	shame (noun)	269
16.48	proud	227
16.51	dare	191
16.52	brave	279
16.53	fear, fright	328
16.54	danger	209
16.62	desire, want	368
16.622	choose	245
16.63	hope	213
16.65	faithful	198
16.66	true	289
16.67	lie, tell lies	286
16.68	deceit	252
16.69	forgive	203
16.71	good	296
16.72	bad	312
16.73	right, correct	269
16.74	wrong	246
16.76	fault	225
16.77	mistake, error	269
16.78	blame	219
16.79	praise	221
16.81	beautiful	334
16.82	ugly	264
16.83	greedy	255
16.84	clever	263
17.11	mind	248
17.13	think (= reflect)	266
17.14	think (= be of the opinion)	270
17.15	believe	232
17.16	understand	258
17.17	know	275
17.171	guess	224
17.172	imitate	225
17.18	seem	220
17.19	idea, notion	288
17.21	wise	248
17.22	foolish, stupid	338
17.23	insane, crazy	289
17.24	learn	289
17.242	study	242
17.25	teach	281
17.26	pupil	238
17.27	teacher	249
17.28	school	192
17.31	remember	266
17.32	forget	252
17.34	clear, plain	271
17.35	obscure	196
17.36	secret	222
17.37	sure, certain	247
17.38	explain	230
17.41	intention, purpose	267
17.42	cause	248
17.43	doubt	209
17.44	suspect	196
17.441	betray	207
17.45	need, necessity	270
17.46	easy	237
17.47	difficult	248
17.48	try, attempt	249
17.49	way, manner	253
17.51	and	260
17.52	because	291
17.53	if	277
17.54	or	222
17.55	yes, affirmative	300
17.56	no, negative	353
17.61	how?	260
17.62	how many?	236
17.63	how much?	239
17.64	what?	270
17.65	when?	259
17.66	where?	316
17.67	which?	251
17.68	who?	266
17.69	why?	255
18.11	voice	234
18.12	sing	257
18.13	shout, cry out	301
18.15	whisper	217
18.16	mumble	191
18.17	whistle	259
18.18	shriek, screech	208
18.19	howl	213
18.21	speak, talk	336
18.211	stutter, stammer	227
18.22	say	308
18.221	tell story	251
18.222	speech (make a)	218
18.23	silent (be)	241
18.24	language	250
18.26	word	244
18.28	name	246
18.31	ask (question, inquire)	259
18.32	answer	248
18.33	admit, confess	228
18.34	deny	215
18.35	ask, request	262
18.36	promise	202
18.37	refuse	205
18.38	forbid	219
18.39	rebuke, scold	290
18.41	call (=summon)	272
18.42	call (=name)	242
18.43	announce	246
18.44	threaten	194
18.45	boast	232
18.51	write	240
18.52	read	211
18.56	paper	191
18.57	pen	198
18.61	book	184
18.71	flute	212
18.72	drum	212
18.73	horn, trumpet	211
18.74	rattle	173
19.11	country	238
19.12	one's native country	193
19.15	city, town	221
19.16	village	253
19.17	boundary	221
19.21	people (populace)	278
19.23	tribe, clan	265
19.24	chief, chieftain	283
19.25	staff, walking stick	264
19.31	rule, govern	216
19.32	king, ruler	256
19.33	queen	162
19.36	noble, nobleman	153
19.37	citizen, subject	205
19.41	master	269
19.42	slave	202
19.43	servant	246
19.44	freeman	142
19.45	command, order	274
19.46	obey	240
19.47	let, permit	248
19.51	friend, companion	342
19.52	enemy	235
19.54	neighbor	207
19.55	stranger	254
19.56	guest	201
19.57	host	195
19.58	help, aid	257
