4.83	well, health	12	cluster_12_right, correct	right, correct
12.73	straight	12	cluster_12_right, correct	right, correct
16.71	good	12	cluster_12_right, correct	right, correct
16.66	true	12	cluster_12_right, correct	right, correct
19.36	noble, nobleman	12	cluster_12_right, correct	right, correct
21.36	innocent	12	cluster_12_right, correct	right, correct
16.73	right, correct	12	cluster_12_right, correct	right, correct
16.81	beautiful	12	cluster_12_right, correct	right, correct
17.37	sure, certain	12	cluster_12_right, correct	right, correct
16.65	faithful	12	cluster_12_right, correct	right, correct
6.46	skirt	13	cluster_13_cloth	cloth
6.12	clothing, clothes	13	cluster_13_cloth	cloth
6.82	towel	13	cluster_13_cloth	cloth
6.44	shirt	13	cluster_13_cloth	cloth
6.461	grass-skirt	13	cluster_13_cloth	cloth
6.81	handkerchief, rag	13	cluster_13_cloth	cloth
6.23	linen, flax	13	cluster_13_cloth	cloth
6.42	woman's dress	13	cluster_13_cloth	cloth
6.21	cloth	13	cluster_13_cloth	cloth
5.11	eat	14	cluster_14_food	food
5.12	food	14	cluster_14_food	food
14.45	noon, midday	14	cluster_14_food	food
5.41	meal (a)	14	cluster_14_food	food
5.43	lunch	14	cluster_14_food	food
5.42	breakfast	14	cluster_14_food	food
5.44	dinner	14	cluster_14_food	food
20.56	bait	14	cluster_14_food	food
5.45	supper	14	cluster_14_food	food
4.371	ankle	15	cluster_15_leg	leg
4.37	foot	15	cluster_15_leg	leg
4.351	thigh	15	cluster_15_leg	leg
4.463	hip	15	cluster_15_leg	leg
4.374	footprint	15	cluster_15_leg	leg
4.464	buttocks	15	cluster_15_leg	leg
4.35	leg	15	cluster_15_leg	leg
4.372	heel	15	cluster_15_leg	leg
12.34	bottom	15	cluster_15_leg	leg
4.352	calf of leg	15	cluster_15_leg	leg
14.41	day	16	cluster_16_day	day
14.78	season	16	cluster_16_day	day
1.52	sun	16	cluster_16_day	day
1.78	weather	16	cluster_16_day	day
14.51	hour	16	cluster_16_day	day
14.53	clock, timepiece	16	cluster_16_day	day
14.11	time	16	cluster_16_day	day
12.67	deep	17	cluster_17_tall	tall
12.44	far (adv)	17	cluster_17_tall	tall
12.58	tall	17	cluster_17_tall	tall
14.332	long-time (for a)	17	cluster_17_tall	tall
12.57	long	17	cluster_17_tall	tall
12.31	high	17	cluster_17_tall	tall
12.8	up, above	17	cluster_17_tall	tall
2.39	married woman	18	cluster_18_wife	wife
2.32	wife	18	cluster_18_wife	wife
2.24	female	18	cluster_18_wife	wife
2.22	woman	18	cluster_18_wife	wife
3.13	female (adj)	18	cluster_18_wife	wife
3.44	mare	18	cluster_18_wife	wife
8.42	grain (barley, oats etc)	19	cluster_19_fruit	fruit
8.82	coconut	19	cluster_19_fruit	fruit
5.65	vegetables	19	cluster_19_fruit	fruit
8.41	crop, harvest	19	cluster_19_fruit	fruit
5.77	nut	19	cluster_19_fruit	fruit
8.81	palm tree	19	cluster_19_fruit	fruit
8.48	rice	19	cluster_19_fruit	fruit
8.83	citrus fruit	19	cluster_19_fruit	fruit
5.71	fruit	19	cluster_19_fruit	fruit
14.77	autumn	19	cluster_19_fruit	fruit
8.311	seed	19	cluster_19_fruit	fruit
8.47	maize, corn	19	cluster_19_fruit	fruit
18.39	rebuke, scold	20	cluster_20_tell story	tell story
21.23	witness	20	cluster_20_tell story	tell story
18.44	threaten	20	cluster_20_tell story	tell story
18.21	speak, talk	20	cluster_20_tell story	tell story
18.22	say	20	cluster_20_tell story	tell story
15.55	show	20	cluster_20_tell story	tell story
18.43	announce	20	cluster_20_tell story	tell story
18.33	admit, confess	20	cluster_20_tell story	tell story
18.221	tell story	20	cluster_20_tell story	tell story
17.38	explain	20	cluster_20_tell story	tell story
18.222	speech (make a)	20	cluster_20_tell story	tell story
18.19	howl	21	cluster_21_call (=summon)	call (=summon)
18.18	shriek, screech	21	cluster_21_call (=summon)	call (=summon)
18.28	name	21	cluster_21_call (=summon)	call (=summon)
16.39	groan	21	cluster_21_call (=summon)	call (=summon)
16.37	cry, weep	21	cluster_21_call (=summon)	call (=summon)
4.612	snore	21	cluster_21_call (=summon)	call (=summon)
18.41	call (=summon)	21	cluster_21_call (=summon)	call (=summon)
18.42	call (=name)	21	cluster_21_call (=summon)	call (=summon)
18.13	shout, cry out	21	cluster_21_call (=summon)	call (=summon)
15.56	shine	22	cluster_22_white	white
15.87	clean	22	cluster_22_white	white
15.62	light (in color)	22	cluster_22_white	white
15.64	white	22	cluster_22_white	white
15.57	bright	22	cluster_22_white	white
1.61	light (noun)	22	cluster_22_white	white
17.34	clear, plain	22	cluster_22_white	white
10.614	carry-on-head	23	cluster_23_carry (bear)	carry (bear)
10.615	carry-underarm	23	cluster_23_carry (bear)	carry (bear)
10.613	carry-on-shoulder	23	cluster_23_carry (bear)	carry (bear)
10.61	carry (bear)	23	cluster_23_carry (bear)	carry (bear)
10.65	drive	23	cluster_23_carry (bear)	carry (bear)
10.612	carry-in-hand	23	cluster_23_carry (bear)	carry (bear)
10.64	lead (vb)	23	cluster_23_carry (bear)	carry (bear)
10.62	bring	23	cluster_23_carry (bear)	carry (bear)
18.24	language	24	cluster_24_sound, noise	sound, noise
15.44	sound, noise	24	cluster_24_sound, noise	sound, noise
4.26	tongue	24	cluster_24_sound, noise	sound, noise
18.26	word	24	cluster_24_sound, noise	sound, noise
18.11	voice	24	cluster_24_sound, noise	sound, noise
17.171	guess	25	cluster_25_remember	remember
17.31	remember	25	cluster_25_remember	remember
17.43	doubt	25	cluster_25_remember	remember
17.13	think (= reflect)	25	cluster_25_remember	remember
17.15	believe	25	cluster_25_remember	remember
17.44	suspect	25	cluster_25_remember	remember
17.14	think (= be of the opinion)	25	cluster_25_remember	remember
20.63	miss (target)	26	cluster_26_guilty	guilty
21.35	guilty	26	cluster_26_guilty	guilty
21.31	accuse	26	cluster_26_guilty	guilty
16.74	wrong	26	cluster_26_guilty	guilty
21.22	defendant	26	cluster_26_guilty	guilty
16.78	blame	26	cluster_26_guilty	guilty
16.76	fault	26	cluster_26_guilty	guilty
16.77	mistake, error	26	cluster_26_guilty	guilty
2.82	family	27	cluster_27_family	family
19.44	freeman	27	cluster_27_family	family
2.81	relatives, kinsmen	27	cluster_27_family	family
2.37	parents	27	cluster_27_family	family
19.51	friend, companion	27	cluster_27_family	family
2.1	person, human being	27	cluster_27_family	family
19.37	citizen, subject	27	cluster_27_family	family
19.23	tribe, clan	27	cluster_27_family	family
19.54	neighbor	27	cluster_27_family	family
19.21	people (populace)	27	cluster_27_family	family
8.12	field (for cultivation)	28	cluster_28_pasture	pasture
1.23	plain, field	28	cluster_28_pasture	pasture
1.24	valley	28	cluster_28_pasture	pasture
8.53	plant (noun)	28	cluster_28_pasture	pasture
8.51	grass	28	cluster_28_pasture	pasture
3.16	pasture	28	cluster_28_pasture	pasture
8.13	garden	28	cluster_28_pasture	pasture
8.52	hay	28	cluster_28_pasture	pasture
2.445	younger brother	29	cluster_29_younger brother	younger brother
2.456	sibling	29	cluster_29_younger brother	younger brother
2.44	brother	29	cluster_29_younger brother	younger brother
2.444	older brother	29	cluster_29_younger brother	younger brother
2.45	sister	29	cluster_29_younger brother	younger brother
2.455	younger sister	29	cluster_29_younger brother	younger brother
2.454	older sister	29	cluster_29_younger brother	younger brother
2.55	cousin	29	cluster_29_younger brother	younger brother
4.162	rib	30	cluster_30_edge	edge
12.353	edge	30	cluster_30_edge	edge
1.27	shore	30	cluster_30_edge	edge
12.36	side	30	cluster_30_edge	edge
12.43	near (adv)	30	cluster_30_edge	edge
19.17	boundary	30	cluster_30_edge	edge
12.2	beside	30	cluster_30_edge	edge
1.215	sand	30	cluster_30_edge	edge
3.35	pig	31	cluster_31_sow	sow
8.11	farmer	31	cluster_31_sow	sow
3.32	boar	31	cluster_31_sow	sow
3.73	bear	31	cluster_31_sow	sow
8.21	plow	31	cluster_31_sow	sow
8.531	plant (vb)	31	cluster_31_sow	sow
3.34	sow	31	cluster_31_sow	sow
8.15	cultivate, till	31	cluster_31_sow	sow
10.66	ride	32	cluster_32_rise	rise
10.21	rise	32	cluster_32_rise	rise
10.471	go up	32	cluster_32_rise	rise
4.63	wake up	32	cluster_32_rise	rise
10.472	climb	32	cluster_32_rise	rise
9.12	work	33	cluster_33_build	build
12.12	put	33	cluster_33_build	build
9.72	mold (clay etc)	33	cluster_33_build	build
9.44	build	33	cluster_33_build	build
9.11	do, make	33	cluster_33_build	build
6.11	put on (clothes)	33	cluster_33_build	build
4.412	nipple, teat	34	cluster_34_chest	chest
5.86	milk (noun)	34	cluster_34_chest	chest
4.4	chest	34	cluster_34_chest	chest
5.88	cheese	34	cluster_34_chest	chest
4.41	breast (of woman)	34	cluster_34_chest	chest
4.42	udder	34	cluster_34_chest	chest
14.26	end (temporal)	35	cluster_35_finish	finish
13.35	last	35	cluster_35_finish	finish
12.35	end	35	cluster_35_finish	finish
12.15	stand	35	cluster_35_finish	finish
14.28	cease, stop	35	cluster_35_finish	finish
14.27	finish	35	cluster_35_finish	finish
12.59	short	36	cluster_36_inside, in	inside, in
12.3	down, below	36	cluster_36_inside, in	inside, in
12.7	under	36	cluster_36_inside, in	inside, in
12.5	inside, in	36	cluster_36_inside, in	inside, in
12.68	shallow	36	cluster_36_inside, in	inside, in
12.32	low	36	cluster_36_inside, in	inside, in
3.55	chicken	37	cluster_37_fowl	fowl
3.5	fowl	37	cluster_37_fowl	fowl
3.581	bird	37	cluster_37_fowl	fowl
3.592	parrot	37	cluster_37_fowl	fowl
3.54	hen	37	cluster_37_fowl	fowl
3.583	heron	37	cluster_37_fowl	fowl
3.52	cock, rooster	37	cluster_37_fowl	fowl
8.55	branch	38	cluster_38_hand	hand
12.541	span, fathom	38	cluster_38_hand	hand
8.74	forked branch	38	cluster_38_hand	hand
6.58	glove	38	cluster_38_hand	hand
4.321	wrist	38	cluster_38_hand	hand
4.331	palm of hand	38	cluster_38_hand	hand
4.33	hand	38	cluster_38_hand	hand
4.31	arm	38	cluster_38_hand	hand
6.921	braid	39	cluster_39_braid	braid
6.35	sew	39	cluster_39_braid	braid
9.75	weave, plait	39	cluster_39_braid	braid
6.33	weave	39	cluster_39_braid	braid
17.48	try, attempt	40	cluster_40_try, attempt	try, attempt
11.92	weigh	40	cluster_40_try, attempt	try, attempt
12.54	measure	40	cluster_40_try, attempt	try, attempt
17.172	imitate	40	cluster_40_try, attempt	try, attempt
